,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
716,11,Norte,2,34,2,1,4,,2.0,1.0,724.0,2.0,0,,1324.0,1,9
718,11,Norte,2,48,4,1,4,,2.0,1.0,2800.0,1.0,0,2.0,3524.0,1,16
772,11,Norte,2,64,2,1,4,,2.0,1.0,724.0,2.0,0,,3724.0,1,5
791,11,Norte,2,85,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
826,11,Norte,4,63,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
842,11,Norte,4,73,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,3
845,11,Norte,2,66,2,3,4,,2.0,1.0,724.0,1.0,0,2.0,1024.0,1,1
846,11,Norte,4,69,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,9
868,11,Norte,4,71,8,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,3
886,11,Norte,4,57,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
914,11,Norte,4,81,8,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,8,1
917,11,Norte,2,65,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
926,11,Norte,2,66,2,1,4,,2.0,1.0,1220.0,1.0,0,3.0,6220.0,8,8
927,11,Norte,4,64,2,1,4,,2.0,1.0,724.0,1.0,0,3.0,1724.0,8,9
937,11,Norte,2,67,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
940,11,Norte,2,50,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
953,11,Norte,2,61,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,5724.0,8,5
954,11,Norte,4,53,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,5
955,11,Norte,2,76,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
956,11,Norte,4,76,2,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
983,11,Norte,4,71,2,1,4,,2.0,1.0,5000.0,1.0,0,2.0,45000.0,1,15
992,11,Norte,4,52,2,1,4,,2.0,1.0,5000.0,2.0,0,,5000.0,1,16
994,11,Norte,2,58,8,1,4,,2.0,1.0,2000.0,1.0,0,1.0,2000.0,1,5
997,11,Norte,2,72,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
998,11,Norte,4,62,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1015,11,Norte,4,67,8,3,4,,2.0,1.0,724.0,1.0,0,1.0,1448.0,1,1
1035,11,Norte,4,54,2,1,4,,2.0,1.0,2100.0,1.0,0,3.0,4600.0,1,15
1036,11,Norte,4,58,4,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,4
1049,11,Norte,4,75,8,3,4,,2.0,1.0,724.0,2.0,0,,1448.0,8,1
1050,11,Norte,2,73,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
1053,11,Norte,2,74,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,8,1
1069,11,Norte,2,60,8,3,4,,2.0,1.0,724.0,1.0,0,5.0,1024.0,8,1
1070,11,Norte,4,56,2,1,4,,2.0,1.0,724.0,1.0,0,1.0,724.0,8,4
1077,11,Norte,2,61,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,8,8
1088,11,Norte,2,47,8,1,4,,2.0,1.0,4000.0,1.0,0,3.0,7500.0,8,12
1097,11,Norte,2,68,2,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,6
1122,11,Norte,2,70,2,1,4,,2.0,1.0,724.0,2.0,0,,1448.0,1,1
1150,11,Norte,2,52,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1172,11,Norte,2,39,8,1,4,,2.0,1.0,724.0,1.0,0,3.0,999999999999.0,1,4
1173,11,Norte,4,25,8,1,4,,2.0,1.0,724.0,2.0,0,,724.0,1,9
1183,11,Norte,4,59,8,3,4,,2.0,1.0,724.0,2.0,0,,724.0,1,1
1184,11,Norte,2,56,8,3,4,,2.0,1.0,724.0,1.0,0,2.0,724.0,1,3
