,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
11,11,Norte,2.0,83.0,8.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
21,11,Norte,2.0,84.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
33,11,Norte,4.0,68.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
54,11,Norte,2.0,61.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
55,11,Norte,4.0,61.0,8.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
65,11,Norte,4.0,70.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
66,11,Norte,2.0,81.0,8.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,205.0,1.0,1.0
73,11,Norte,4.0,69.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
75,11,Norte,2.0,70.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,5.0,280.0,1.0,3.0
83,11,Norte,4.0,50.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
104,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,780.0,1.0,3.0
105,11,Norte,4.0,61.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
109,11,Norte,2.0,68.0,8.0,1.0,4.0,,2.0,1.0,190.0,2.0,0,,190.0,1.0,1.0
124,11,Norte,2.0,70.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,180.0,1.0,5.0
131,11,Norte,4.0,61.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
141,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,460.0,1.0,1.0
142,11,Norte,4.0,63.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
160,11,Norte,2.0,67.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,180.0,1.0,5.0
161,11,Norte,4.0,61.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
162,11,Norte,4.0,75.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
199,11,Norte,4.0,64.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,180.0,1.0,1.0
200,11,Norte,2.0,69.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,180.0,1.0,4.0
249,11,Norte,2.0,43.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
270,11,Norte,2.0,73.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
311,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,360.0,1.0,6.0
317,11,Norte,4.0,58.0,2.0,1.0,4.0,,2.0,1.0,920.0,1.0,0,2.0,1220.0,1.0,16.0
319,11,Norte,2.0,66.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
331,11,Norte,2.0,27.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,6.0
349,11,Norte,2.0,60.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,5.0,480.0,1.0,1.0
350,11,Norte,4.0,59.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
