,UF,REGIAO,SEXO,IDADE,COR,ALFABETIZADO,ESCOLA_CRECHE,CURSO,APOSENTADO,APOSENTADORIA,VALOR_APOSENTADORIA,PEA,SAL_MIN,HORAS_TRABALHO,REND_MEN_TOT,SIT_CENSITARIA,ANOS_ESTUDO
395,11,Norte,4.0,70.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
396,11,Norte,4.0,70.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
491,11,Norte,4.0,61.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
492,11,Norte,4.0,61.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
537,11,Norte,2.0,68.0,8.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
538,11,Norte,2.0,68.0,8.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
570,11,Norte,2.0,49.0,2.0,1.0,4.0,,2.0,1.0,300.0,1.0,0,5.0,800.0,1.0,5.0
571,11,Norte,2.0,49.0,2.0,1.0,4.0,,2.0,1.0,300.0,1.0,0,5.0,800.0,1.0,5.0
607,11,Norte,4.0,85.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
608,11,Norte,4.0,85.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
677,11,Norte,2.0,73.0,8.0,1.0,4.0,,2.0,1.0,360.0,1.0,0,5.0,660.0,1.0,5.0
678,11,Norte,2.0,73.0,8.0,1.0,4.0,,2.0,1.0,360.0,1.0,0,5.0,660.0,1.0,5.0
688,11,Norte,2.0,70.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
689,11,Norte,2.0,70.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
781,11,Norte,2.0,69.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,360.0,1.0,3.0
783,11,Norte,2.0,69.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,360.0,1.0,3.0
792,11,Norte,2.0,72.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
793,11,Norte,2.0,72.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
798,11,Norte,2.0,74.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
831,11,Norte,4.0,51.0,2.0,1.0,4.0,,2.0,1.0,1315.0,1.0,0,2.0,1686.0,1.0,12.0
891,11,Norte,2.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
892,11,Norte,4.0,76.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
893,11,Norte,2.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
894,11,Norte,4.0,76.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
987,11,Norte,2.0,86.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
988,11,Norte,2.0,86.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,1.0
1019,11,Norte,4.0,77.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1022,11,Norte,4.0,77.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1031,11,Norte,4.0,66.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,4.0
1034,11,Norte,4.0,66.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,180.0,1.0,4.0
1186,11,Norte,2.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,235.0,1.0,1.0
1192,11,Norte,2.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,235.0,1.0,1.0
1245,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,318.0,2.0,0,,318.0,1.0,2.0
1248,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,318.0,2.0,0,,318.0,1.0,2.0
1263,11,Norte,2.0,69.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
1270,11,Norte,2.0,69.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
1319,11,Norte,2.0,83.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
1320,11,Norte,4.0,79.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,3.0
1321,11,Norte,4.0,79.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,3.0
1322,11,Norte,2.0,83.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
1345,11,Norte,4.0,74.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1346,11,Norte,2.0,76.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1347,11,Norte,4.0,74.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1348,11,Norte,2.0,76.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1452,11,Norte,4.0,66.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,9.0
1453,11,Norte,2.0,40.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,7.0
1455,11,Norte,4.0,73.0,4.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,540.0,1.0,1.0
1457,11,Norte,4.0,69.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1458,11,Norte,2.0,74.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,7.0
1459,11,Norte,2.0,70.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
1722,11,Norte,4.0,69.0,4.0,1.0,4.0,,2.0,1.0,500.0,2.0,0,,500.0,1.0,15.0
1723,11,Norte,4.0,69.0,4.0,1.0,4.0,,2.0,1.0,500.0,2.0,0,,500.0,1.0,15.0
1864,11,Norte,2.0,81.0,6.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,2.0
1880,11,Norte,2.0,81.0,6.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,2.0
1891,11,Norte,4.0,76.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,4.0,780.0,1.0,8.0
1893,11,Norte,4.0,76.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,4.0,780.0,1.0,8.0
1916,11,Norte,2.0,66.0,2.0,1.0,4.0,,2.0,1.0,490.0,2.0,0,,490.0,1.0,12.0
1917,11,Norte,2.0,66.0,2.0,1.0,4.0,,2.0,1.0,490.0,2.0,0,,490.0,1.0,12.0
1988,11,Norte,4.0,66.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
1989,11,Norte,4.0,66.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
2053,11,Norte,2.0,69.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,4.0,680.0,1.0,5.0
2059,11,Norte,4.0,62.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2060,11,Norte,2.0,73.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2131,11,Norte,2.0,73.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,460.0,1.0,5.0
2132,11,Norte,2.0,24.0,2.0,1.0,2.0,6.0,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2143,11,Norte,2.0,69.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
2152,11,Norte,2.0,83.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
2206,11,Norte,4.0,71.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2208,11,Norte,4.0,71.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2218,11,Norte,2.0,68.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,480.0,1.0,1.0
2219,11,Norte,2.0,68.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,480.0,1.0,1.0
2227,11,Norte,4.0,67.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2228,11,Norte,2.0,69.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2229,11,Norte,4.0,67.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2230,11,Norte,2.0,69.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2256,11,Norte,4.0,25.0,8.0,1.0,2.0,1.0,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
2261,11,Norte,4.0,25.0,8.0,1.0,2.0,1.0,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
2300,11,Norte,4.0,51.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2304,11,Norte,4.0,51.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2393,11,Norte,2.0,70.0,8.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
2396,11,Norte,2.0,70.0,8.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
2453,11,Norte,2.0,82.0,2.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
2454,11,Norte,4.0,85.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
2455,11,Norte,4.0,85.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
2456,11,Norte,2.0,82.0,2.0,3.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,1.0
2525,11,Norte,2.0,72.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2527,11,Norte,2.0,72.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2586,11,Norte,4.0,76.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2602,11,Norte,2.0,75.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2651,11,Norte,2.0,74.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,270.0,1.0,1.0
2652,11,Norte,4.0,74.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
2913,11,Norte,4.0,49.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
2916,11,Norte,4.0,49.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
2935,11,Norte,2.0,81.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
2936,11,Norte,2.0,81.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
3287,11,Norte,4.0,65.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
3288,11,Norte,4.0,65.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
3293,11,Norte,4.0,58.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
3299,11,Norte,4.0,58.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,1.0
3375,11,Norte,2.0,72.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
3381,11,Norte,2.0,72.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
3477,11,Norte,2.0,61.0,2.0,1.0,4.0,,2.0,1.0,214.0,2.0,0,,214.0,1.0,4.0
3478,11,Norte,4.0,53.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3479,11,Norte,2.0,61.0,2.0,1.0,4.0,,2.0,1.0,214.0,2.0,0,,214.0,1.0,4.0
3480,11,Norte,4.0,53.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3585,11,Norte,4.0,60.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3588,11,Norte,4.0,60.0,8.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3614,11,Norte,2.0,70.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,480.0,1.0,6.0
3615,11,Norte,2.0,70.0,8.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,3.0,480.0,1.0,6.0
3651,11,Norte,4.0,76.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,3.0
3652,11,Norte,4.0,76.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,3.0
3723,11,Norte,2.0,85.0,8.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,210.0,1.0,1.0
3724,11,Norte,2.0,85.0,8.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,210.0,1.0,1.0
3733,11,Norte,2.0,76.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,360.0,1.0,1.0
3735,11,Norte,2.0,76.0,2.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,2.0,360.0,1.0,1.0
3744,11,Norte,2.0,60.0,2.0,1.0,4.0,,2.0,1.0,1378.0,1.0,0,4.0,3378.0,1.0,16.0
3746,11,Norte,2.0,60.0,2.0,1.0,4.0,,2.0,1.0,1378.0,1.0,0,4.0,3378.0,1.0,16.0
3805,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3806,11,Norte,2.0,65.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3830,11,Norte,4.0,78.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3843,11,Norte,2.0,69.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3864,11,Norte,4.0,77.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
3865,11,Norte,2.0,76.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3868,11,Norte,2.0,76.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
3871,11,Norte,4.0,77.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,4.0
3895,11,Norte,4.0,66.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,3.0
3897,11,Norte,4.0,66.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,360.0,1.0,3.0
4042,11,Norte,2.0,34.0,2.0,1.0,4.0,,2.0,1.0,600.0,1.0,0,5.0,1400.0,1.0,6.0
4043,11,Norte,2.0,34.0,2.0,1.0,4.0,,2.0,1.0,600.0,1.0,0,5.0,1400.0,1.0,6.0
4054,11,Norte,4.0,68.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4055,11,Norte,4.0,68.0,4.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4056,11,Norte,2.0,86.0,4.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4057,11,Norte,2.0,86.0,4.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4208,11,Norte,4.0,62.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,3.0
4209,11,Norte,4.0,62.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,3.0
4294,11,Norte,4.0,78.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4295,11,Norte,4.0,78.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4297,11,Norte,2.0,71.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4299,11,Norte,2.0,71.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4351,11,Norte,4.0,54.0,2.0,1.0,4.0,,2.0,1.0,1147.0,1.0,0,5.0,5339.0,1.0,16.0
4353,11,Norte,4.0,54.0,2.0,1.0,4.0,,2.0,1.0,1147.0,1.0,0,5.0,5339.0,1.0,16.0
4364,11,Norte,4.0,57.0,8.0,1.0,4.0,,2.0,1.0,3500.0,2.0,0,,4200.0,1.0,12.0
4365,11,Norte,4.0,57.0,8.0,1.0,4.0,,2.0,1.0,3500.0,2.0,0,,4200.0,1.0,12.0
4432,11,Norte,4.0,72.0,4.0,1.0,4.0,,2.0,1.0,1200.0,2.0,0,,1200.0,1.0,16.0
4455,11,Norte,2.0,52.0,2.0,1.0,4.0,,2.0,1.0,3000.0,1.0,0,3.0,5000.0,1.0,16.0
4462,11,Norte,4.0,71.0,2.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,9.0
4508,11,Norte,2.0,65.0,8.0,1.0,4.0,,2.0,1.0,850.0,2.0,0,,850.0,1.0,12.0
4533,11,Norte,2.0,69.0,2.0,1.0,4.0,,2.0,1.0,2000.0,1.0,0,3.0,7000.0,1.0,16.0
4537,11,Norte,2.0,69.0,2.0,1.0,4.0,,2.0,1.0,2000.0,1.0,0,3.0,7000.0,1.0,16.0
4588,11,Norte,2.0,68.0,2.0,1.0,4.0,,2.0,1.0,3000.0,2.0,0,,3000.0,1.0,12.0
4592,11,Norte,2.0,68.0,2.0,1.0,4.0,,2.0,1.0,3000.0,2.0,0,,3000.0,1.0,12.0
4610,11,Norte,4.0,64.0,8.0,1.0,4.0,,2.0,1.0,400.0,2.0,0,,400.0,1.0,5.0
4611,11,Norte,4.0,64.0,8.0,1.0,4.0,,2.0,1.0,400.0,2.0,0,,400.0,1.0,5.0
4628,11,Norte,2.0,59.0,2.0,1.0,4.0,,2.0,1.0,1235.0,2.0,0,,1235.0,1.0,5.0
4629,11,Norte,2.0,59.0,2.0,1.0,4.0,,2.0,1.0,1235.0,2.0,0,,1235.0,1.0,5.0
4637,11,Norte,4.0,44.0,8.0,1.0,4.0,,2.0,1.0,720.0,2.0,0,,720.0,1.0,1.0
4638,11,Norte,4.0,44.0,8.0,1.0,4.0,,2.0,1.0,720.0,2.0,0,,720.0,1.0,1.0
4660,11,Norte,4.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4661,11,Norte,4.0,72.0,2.0,3.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,1.0
4662,11,Norte,2.0,80.0,8.0,1.0,4.0,,2.0,1.0,1000.0,2.0,0,,1000.0,1.0,12.0
4664,11,Norte,2.0,80.0,8.0,1.0,4.0,,2.0,1.0,1000.0,2.0,0,,1000.0,1.0,12.0
4674,11,Norte,4.0,82.0,8.0,1.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,5.0
4677,11,Norte,4.0,82.0,8.0,1.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,5.0
4683,11,Norte,2.0,58.0,8.0,1.0,4.0,,2.0,1.0,2200.0,2.0,0,,2200.0,1.0,9.0
4687,11,Norte,2.0,58.0,8.0,1.0,4.0,,2.0,1.0,2200.0,2.0,0,,2200.0,1.0,9.0
4816,11,Norte,2.0,79.0,4.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,220.0,1.0,1.0
4817,11,Norte,2.0,79.0,4.0,3.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,220.0,1.0,1.0
4834,11,Norte,2.0,73.0,2.0,1.0,4.0,,2.0,1.0,362.0,2.0,0,,362.0,1.0,4.0
4835,11,Norte,2.0,73.0,2.0,1.0,4.0,,2.0,1.0,362.0,2.0,0,,362.0,1.0,4.0
4842,11,Norte,4.0,48.0,2.0,1.0,4.0,,2.0,1.0,1200.0,2.0,0,,1320.0,1.0,12.0
4843,11,Norte,4.0,48.0,2.0,1.0,4.0,,2.0,1.0,1200.0,2.0,0,,1320.0,1.0,12.0
4862,11,Norte,2.0,68.0,8.0,1.0,4.0,,2.0,1.0,1270.0,2.0,0,,1270.0,1.0,12.0
4863,11,Norte,2.0,68.0,8.0,1.0,4.0,,2.0,1.0,1270.0,2.0,0,,1270.0,1.0,12.0
4882,11,Norte,4.0,64.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,380.0,1.0,9.0
4883,11,Norte,2.0,68.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
4884,11,Norte,4.0,64.0,2.0,1.0,4.0,,2.0,1.0,180.0,1.0,0,1.0,380.0,1.0,9.0
4887,11,Norte,2.0,68.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,2.0
4899,11,Norte,2.0,80.0,4.0,1.0,4.0,,2.0,1.0,190.0,2.0,0,,190.0,1.0,3.0
4900,11,Norte,2.0,80.0,4.0,1.0,4.0,,2.0,1.0,190.0,2.0,0,,190.0,1.0,3.0
4921,11,Norte,4.0,66.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
4922,11,Norte,4.0,66.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
4980,11,Norte,4.0,75.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
4985,11,Norte,4.0,75.0,8.0,1.0,4.0,,2.0,1.0,180.0,2.0,0,,180.0,1.0,5.0
5006,11,Norte,2.0,81.0,8.0,1.0,4.0,,2.0,1.0,413.0,2.0,0,,413.0,1.0,5.0
5007,11,Norte,2.0,81.0,8.0,1.0,4.0,,2.0,1.0,413.0,2.0,0,,413.0,1.0,5.0
5018,11,Norte,2.0,75.0,8.0,1.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,3.0
5019,11,Norte,2.0,75.0,8.0,1.0,4.0,,2.0,1.0,360.0,2.0,0,,360.0,1.0,3.0
5024,11,Norte,2.0,45.0,8.0,1.0,4.0,,2.0,1.0,800.0,2.0,0,,800.0,1.0,8.0
5033,11,Norte,2.0,45.0,8.0,1.0,4.0,,2.0,1.0,800.0,2.0,0,,800.0,1.0,8.0
5082,11,Norte,2.0,76.0,2.0,1.0,4.0,,2.0,1.0,500.0,2.0,0,,500.0,1.0,2.0
5092,11,Norte,4.0,79.0,2.0,1.0,4.0,,2.0,1.0,972.0,2.0,0,,972.0,1.0,5.0
5129,11,Norte,4.0,74.0,8.0,3.0,4.0,,2.0,1.0,350.0,2.0,0,,700.0,1.0,1.0
